# seed: 1784055086560574239
# N: 155.000
# minAmplitude: 0.19294170643501568
# maxAmplitude: 0.3999961006444704
# minSigma: 17.639417991858277
# maxSigma: 19.99997739942267
# minX0: 2794.430233436969
# maxX0: 2813.1449767060876
# minAlpha: 1.4560060028808783
# maxAlpha: 1.6559824097062028
# chi2 amplitude sigma x0 alpha
19.5764565 0.3885518 19.8397401 2802.2227719 1.4993140
19.5824777 0.3527603 19.9502068 2802.6553022 1.5428715
19.5858483 0.3532604 19.9561642 2802.4883193 1.5293739
19.5866835 0.3694735 19.8344126 2804.1025709 1.5877619
19.5902959 0.3671861 19.8973364 2805.3774750 1.4577160
19.5960563 0.3805697 19.8106705 2803.3542115 1.6103811
19.5960954 0.3987513 19.7554271 2802.9901515 1.5347508
19.6000624 0.3459349 19.9552412 2804.9322988 1.4765537
19.6195021 0.3918840 19.9587637 2806.0960019 1.6389954
19.6217593 0.3959247 19.8073691 2802.8782781 1.6351586
19.6217877 0.3603898 19.9950440 2805.8458535 1.4930608
19.6294986 0.3798318 19.7951301 2802.5782817 1.4687535
19.6410505 0.3900370 19.9137531 2801.8700569 1.5746869
19.6428470 0.3775504 19.8030066 2804.5540694 1.5704426
19.6501411 0.3800537 19.7827880 2803.9858394 1.5948648
19.6713398 0.3835794 19.9654966 2806.1792779 1.5309892
19.6784396 0.3853036 19.8732743 2802.4288392 1.6441692
19.6837945 0.3839452 19.7259535 2804.0239683 1.4880842
19.6920400 0.3952420 19.7248315 2804.6688752 1.4701326
19.6930268 0.3316663 19.9855180 2803.3966919 1.4851669
19.6942517 0.3413615 19.9839303 2802.3366394 1.4670856
19.6975860 0.3654649 19.8467387 2804.3561655 1.6175254
19.7017588 0.3772545 19.8712936 2801.9067805 1.4714721
19.7114688 0.3897706 19.7695453 2804.6005311 1.6202389
19.7126249 0.3823189 19.7492339 2802.9156827 1.4848501
19.7148030 0.3961334 19.8582782 2802.0887584 1.5902708
19.7186186 0.3932607 19.7684705 2804.6192033 1.6477017
19.7209718 0.3734896 19.7769055 2804.0773206 1.5532452
19.7402152 0.3932319 19.9590952 2801.2377876 1.4993674
19.7542955 0.3888902 19.8041477 2805.0533873 1.6499917
19.7548281 0.3839856 19.8047643 2805.3509150 1.4612315
19.7592054 0.3999711 19.7682187 2805.1665720 1.5559805
19.7609927 0.3632448 19.8010883 2802.9366986 1.4706567
19.7625544 0.3831870 19.7762296 2804.5280377 1.6287131
19.7637293 0.3996958 19.7007384 2803.3499181 1.5473551
19.7657560 0.3881966 19.8157725 2805.4106001 1.5379960
19.7710879 0.3909442 19.8893700 2801.7040783 1.5373676
19.7779426 0.3670601 19.9290727 2805.6507982 1.5947766
19.7839640 0.3732320 19.8007494 2803.4600226 1.6286634
19.7860657 0.3886818 19.9087081 2806.0217950 1.5831439
19.7881866 0.3714027 19.7603887 2803.3364242 1.5124285
19.8035336 0.3920043 19.9709155 2806.4329852 1.5758719
19.8041084 0.3934400 19.7229143 2804.7091946 1.5317882
19.8126973 0.3414425 19.9882657 2804.9661914 1.6038251
19.8143108 0.3924021 19.9952274 2801.2256738 1.5814210
19.8155416 0.3844749 19.7321527 2803.8310802 1.5924970
19.8194605 0.3903392 19.7375031 2802.7342070 1.5249093
19.8205377 0.3482014 19.8841993 2804.7301514 1.4854065
19.8385592 0.3634893 19.9147344 2802.2288785 1.5850697
19.8446787 0.3760036 19.9170421 2805.9017180 1.5943419
19.8455000 0.3595950 19.9586945 2805.8416959 1.5192088
19.8459828 0.3478516 19.8911538 2804.7462408 1.5100598
19.8463558 0.3272379 19.9740550 2803.7599189 1.4661220
19.8471521 0.3853449 19.8715512 2801.7723122 1.5329514
19.8478204 0.3637802 19.7851827 2804.0351292 1.5389091
19.8508072 0.3827908 19.7068266 2803.8298958 1.5315772
19.8634492 0.3736987 19.9322532 2805.9628037 1.5997644
19.8655980 0.3410553 19.9352756 2804.1810920 1.5945889
19.8670124 0.3528366 19.8440323 2802.7730529 1.4738328
19.8685256 0.3961027 19.9521981 2806.4074025 1.6454707
19.8749804 0.3586824 19.8307562 2804.8235610 1.5022827
19.8749916 0.3557291 19.8781030 2803.1750050 1.6274134
19.8766446 0.3656486 19.8016838 2802.7851676 1.5188635
19.8786147 0.3664785 19.8786344 2805.2659062 1.6459664
19.8792790 0.3936069 19.6831032 2804.3278420 1.5298948
19.8808058 0.3924195 19.7677216 2805.3054213 1.5362515
19.8821515 0.3780451 19.7150783 2804.3463110 1.4933276
19.8966336 0.3406394 19.9377508 2804.1900603 1.6073640
19.8988420 0.3739712 19.8558634 2802.0151228 1.5283160
19.9151760 0.3852698 19.7187530 2804.3039671 1.6000388
19.9175939 0.3906209 19.9264723 2806.3399486 1.5374210
19.9226460 0.3320730 19.9906487 2802.9907924 1.5481202
19.9261275 0.3955636 19.7376847 2804.8795758 1.6556240
19.9302456 0.3850751 19.7110390 2803.0250923 1.5382397
19.9396520 0.3673011 19.7602165 2803.4243331 1.5509805
19.9528571 0.3418362 19.9583899 2802.9433245 1.6188622
19.9546707 0.3520978 19.9275103 2805.6083851 1.4690841
19.9648482 0.3626707 19.9497635 2805.8265923 1.6505978
19.9666162 0.3844898 19.8840736 2801.4211513 1.4887359
19.9716782 0.3869135 19.9935745 2800.7766812 1.4568532
19.9738873 0.3639569 19.7881535 2802.7287669 1.5074787
19.9775142 0.3661991 19.7557954 2803.8110619 1.5627624
19.9837352 0.3652245 19.8958945 2805.8055323 1.5007456
19.9860874 0.3939401 19.6593788 2804.6426063 1.4642089
19.9920315 0.3981793 19.6855640 2803.2745437 1.6204522
19.9990322 0.3335501 19.9668392 2803.1830203 1.5728845
20.0007290 0.3802018 19.8461174 2805.9009217 1.4653372
20.0032539 0.3758243 19.8622625 2801.9468219 1.5725699
20.0038225 0.3890334 19.6575373 2803.2045467 1.4995948
20.0058072 0.3632208 19.7812377 2803.2897270 1.5737487
20.0066739 0.3746633 19.8659216 2801.8912917 1.5577729
20.0067924 0.3733589 19.9002258 2806.0665145 1.4903055
20.0156544 0.3370857 19.9818438 2805.0874418 1.5833371
20.0192906 0.3795249 19.9262508 2801.3069119 1.5172257
20.0295457 0.3920416 19.7308058 2802.3640732 1.5349922
20.0395705 0.3692874 19.9338162 2801.7971190 1.6223430
20.0412700 0.3846319 19.8599202 2805.9885072 1.5805638
20.0414272 0.3635987 19.8960482 2801.7634477 1.5098763
20.0428243 0.3691124 19.9309232 2801.3974266 1.5015022
20.0446868 0.3973241 19.9305955 2801.4412389 1.6536885
20.0488774 0.3841432 19.6694526 2803.9600141 1.5518626
20.0494416 0.3343075 19.9978145 2802.5564380 1.5681873
20.0562229 0.3742869 19.7436249 2804.5416374 1.6153099
20.0567165 0.3716060 19.9649014 2806.2914102 1.6426900
20.0594824 0.3410846 19.9228228 2802.2676371 1.4712286
20.0643611 0.3395988 19.9256152 2804.3117067 1.6303474
20.0805427 0.3418635 19.9039588 2804.1610430 1.6315428
20.0838140 0.3662923 19.7087037 2803.9605753 1.4973101
20.0884420 0.3410047 19.8512276 2804.5015769 1.4610909
20.0902075 0.3390818 19.9455177 2802.7266270 1.5781944
20.0950547 0.3618694 19.7574089 2804.6303551 1.5030917
20.0959516 0.3563469 19.9611814 2805.8907525 1.6339305
20.1009217 0.3374965 19.9035029 2804.5490062 1.5336337
20.1108175 0.3808775 19.6564377 2803.2128276 1.4948347
20.1170637 0.3918389 19.8096622 2806.0073133 1.4620568
20.1175425 0.3794059 19.6706904 2804.6507093 1.4609850
20.1194262 0.3696454 19.7494248 2804.8747436 1.5429789
20.1199136 0.3892155 19.7110535 2805.2676100 1.4947746
20.1214796 0.3681886 19.7412616 2803.3287774 1.5908714
20.1358256 0.3340754 19.8832279 2803.0723154 1.4628902
20.1517372 0.3977050 19.8014604 2801.9061783 1.6208232
20.1530005 0.3748093 19.6821373 2804.6102146 1.4791141
20.1532355 0.3836674 19.8385787 2801.6793046 1.5560343
20.1544707 0.3857804 19.8170538 2801.6181593 1.5114662
20.1565984 0.3378425 19.9428085 2802.3468030 1.5152393
20.1661523 0.3353141 19.8632381 2803.8525922 1.4864033
20.1768573 0.3688515 19.7901742 2802.5215323 1.5933618
20.1802201 0.3948709 19.6380803 2802.6944745 1.4950843
20.1853678 0.3869402 19.6202107 2804.3607587 1.4768255
20.1905689 0.3624220 19.7331461 2803.9061462 1.5670182
20.1968290 0.3430864 19.8554725 2802.6851332 1.4960855
20.2011935 0.3950837 19.8464787 2806.2054129 1.6409981
20.2089083 0.3227174 19.9930334 2802.9096405 1.5098825
20.2166649 0.3647891 19.7278477 2804.8641401 1.4697781
20.2183206 0.3494744 19.9422897 2805.8981400 1.4991360
20.2192136 0.3331601 19.9489774 2804.0652783 1.6545988
20.2252017 0.3417180 19.8886299 2804.8192272 1.5838759
20.2283169 0.3827104 19.9488139 2801.0578928 1.5579766
20.2324197 0.3722994 19.9798877 2806.6771330 1.5093316
20.2366492 0.3451024 19.9012117 2805.4617217 1.4975020
20.2406905 0.3442142 19.9431590 2805.6233409 1.5516293
20.2465450 0.3962141 19.7513927 2805.8286662 1.5143552
20.2468724 0.3926829 19.9190002 2801.1029133 1.5741019
20.2522712 0.3337551 19.8880040 2802.7779232 1.4736807
20.2602685 0.3625918 19.8279634 2802.3542438 1.6043119
20.2628112 0.3928179 19.8139290 2801.7550507 1.6209802
20.2639517 0.3809693 19.6878959 2804.6627234 1.6283027
20.2673901 0.3948785 19.6620365 2802.7859945 1.6048595
20.2712987 0.3721481 19.6876334 2802.6280833 1.4801896
20.2744711 0.3729956 19.7494256 2802.7704093 1.6353336
20.2783742 0.3738215 19.6538835 2803.5712415 1.5347650
20.2911784 0.3737331 19.6350604 2803.1242385 1.4632912
20.2977672 0.3280213 19.9740873 2803.3526253 1.6282044
20.3127790 0.3687312 19.9043200 2806.2212526 1.5925773
20.3206390 0.3755126 19.7396025 2802.4854818 1.5975995
20.3333886 0.3689203 19.9984794 2801.0103832 1.5762862
20.3335458 0.3635015 19.8176095 2802.1852628 1.5815809
20.3357996 0.3386920 19.8580470 2803.6977962 1.5920012
20.3398462 0.3483272 19.9009646 2805.6932704 1.5217386
20.3451826 0.3937868 19.8134985 2806.1701510 1.6390525
20.3452629 0.3380626 19.9640021 2805.7791878 1.4774130
20.3490837 0.3741339 19.6568670 2802.8810873 1.5067014
20.3510695 0.3411797 19.9125264 2802.7878432 1.6434334
20.3612512 0.3705175 19.8556480 2806.0874493 1.5490164
20.3644141 0.3354218 19.8781632 2803.6406957 1.5944345
20.3734860 0.3577890 19.7152120 2804.0281014 1.5487407
20.3777483 0.3585323 19.8028312 2805.3737432 1.5458013
20.3820851 0.3795578 19.6601445 2804.7062878 1.5893355
20.3948193 0.3366936 19.9282789 2802.3258937 1.5495643
20.3989937 0.3833723 19.5779295 2803.1492529 1.4623250
20.4021474 0.3307901 19.9259519 2805.1627836 1.4813277
20.4034167 0.3430703 19.8148781 2804.7588796 1.5105276
20.4034477 0.3744968 19.9516026 2801.0812778 1.5845082
20.4062258 0.3971884 19.6195395 2805.0795134 1.5285913
20.4082986 0.3915803 19.8306413 2801.1064629 1.4850890
20.4131342 0.3440419 19.9169646 2802.1318880 1.5781417
20.4135325 0.3953083 19.5739663 2803.8872252 1.5844733
20.4156483 0.3856421 19.6065445 2804.2642411 1.5791060
20.4191699 0.3800346 19.9866747 2800.9161108 1.6168260
20.4227572 0.3405470 19.7801149 2803.8148927 1.4888466
20.4231817 0.3897520 19.9437412 2806.9163445 1.5343254
20.4246697 0.3924424 19.8357324 2801.3700864 1.5924492
20.4310229 0.3715113 19.9942336 2806.9349573 1.4623359
20.4349497 0.3719924 19.8373504 2801.8212646 1.6227044
20.4435001 0.3428953 19.8511005 2802.3222957 1.5057973
20.4439641 0.3530788 19.9696982 2801.6657935 1.6440441
20.4447219 0.3268283 19.9008082 2804.6609129 1.4740984
20.4492349 0.3940089 19.6301737 2805.2895486 1.4763329
20.4551959 0.3617755 19.7598777 2805.2633598 1.5482565
20.4555046 0.3533884 19.7510062 2804.9714798 1.4773307
20.4566928 0.3777184 19.7193408 2802.2586852 1.5759879
20.4591301 0.3783731 19.5949663 2803.2625746 1.5009997
20.4637624 0.3946441 19.9731946 2800.6615242 1.5779222
20.4645765 0.3808436 19.8649569 2801.0861876 1.5055991
20.4707522 0.3607051 19.6886223 2804.4152584 1.5334713
20.4742258 0.3894902 19.7772210 2806.1990069 1.4683110
20.4757245 0.3582381 19.9226237 2801.5294937 1.5868330
20.4844718 0.3741548 19.7082134 2805.4023625 1.5169501
20.4845238 0.3691315 19.9465480 2800.9027525 1.5108190
20.4869110 0.3215006 19.9375861 2803.9395733 1.5409959
20.4873676 0.3342108 19.8898859 2803.6522933 1.6461687
20.4888202 0.3811660 19.6748643 2805.0967002 1.6215831
20.4924421 0.3254177 19.9550387 2803.1918860 1.6061129
20.4933486 0.3911196 19.7924707 2806.2561295 1.5540677
20.4955897 0.3699281 19.8960233 2801.0659700 1.4959196
20.5005334 0.3671628 19.7237356 2802.6199235 1.5944759
20.5108472 0.3862440 19.7861970 2806.1670065 1.5540370
20.5152246 0.3867657 19.5553809 2804.4536497 1.4652140
20.5189942 0.3727557 19.6706225 2805.0583959 1.5264095
20.5218279 0.3672408 19.8871594 2801.6046010 1.6368943
20.5371487 0.3600011 19.8873410 2801.6146850 1.5886705
20.5392629 0.3368360 19.8406478 2804.9667319 1.4881279
20.5401813 0.3394582 19.7634332 2804.1625164 1.4682320
20.5417622 0.3651937 19.9713886 2806.7248945 1.5885910
20.5431984 0.3523397 19.6836374 2803.5372856 1.4823630
20.5450248 0.3872460 19.6222779 2802.1390721 1.4581580
20.5455245 0.3967409 19.6778947 2801.7888528 1.5117201
20.5475833 0.3771292 19.6220345 2803.8271020 1.6253792
20.5540398 0.3348458 19.8345398 2804.8318474 1.4735994
20.5540842 0.3596958 19.6838324 2804.7329994 1.4927006
20.5646492 0.3986439 19.5535932 2804.1732728 1.6277793
20.5689709 0.3756882 19.6824525 2802.5113714 1.5901874
