# seed: 1784141145525623654
# N: 139.000
# minAmplitude: 0.20998409573019
# maxAmplitude: 0.2830891016485938
# minSigma: 17.999883804266283
# maxSigma: 16.548371118237924
# minX0: 2799.7190904776185
# maxX0: 2802.9998577055535
# minAlpha: 1.456002397664135
# maxAlpha: 1.6559741770305978
# chi2 amplitude sigma x0 alpha
0.3753320 0.2423415 17.9955152 2802.4485703 1.5271111
0.3753650 0.2463605 17.9872742 2802.9732687 1.5769687
0.3753707 0.2298285 17.9812884 2802.8477795 1.4707415
0.3753900 0.2579703 17.9574150 2802.7177884 1.4980749
0.3753982 0.2465898 17.9145415 2802.7440213 1.5347363
0.3754273 0.2402447 17.9203789 2802.9638724 1.5346470
0.3754701 0.2362736 17.9982397 2802.4676388 1.5022896
0.3755341 0.2444361 17.7841568 2802.4176537 1.4627966
0.3755657 0.2489445 17.8953489 2802.6959651 1.5249485
0.3755802 0.2459730 17.8922158 2802.6520886 1.5205171
0.3755873 0.2421600 17.7194545 2802.9380391 1.4751923
0.3756519 0.2351818 17.9678907 2802.9098689 1.5172517
0.3756528 0.2380045 17.7250555 2802.9828117 1.4609594
0.3757479 0.2518967 17.8600341 2802.6327869 1.5012990
0.3758103 0.2342456 17.8161178 2802.8297576 1.4583449
0.3758419 0.2560896 17.9583751 2802.2284900 1.4617548
0.3758469 0.2380624 17.9619938 2802.4643775 1.5037017
0.3758568 0.2429478 17.6792190 2802.9596627 1.4674804
0.3758581 0.2553287 17.9627297 2802.3815978 1.4896517
0.3758599 0.2530995 17.9525845 2802.6941597 1.5349878
0.3759127 0.2338278 17.9675096 2802.3990083 1.4740265
0.3759426 0.2503728 17.7407844 2802.8304634 1.4839133
0.3760251 0.2406247 17.9633263 2802.4836001 1.5189957
0.3760301 0.2556534 17.9162810 2802.6685338 1.5056404
0.3761148 0.2548620 17.9899005 2802.8275534 1.5541189
0.3762463 0.2493016 17.7503354 2802.4625551 1.4600519
0.3762753 0.2366685 17.8497249 2802.6786289 1.4792787
0.3762899 0.2535133 17.9140219 2802.9820792 1.5497844
0.3764635 0.2549308 17.9297909 2802.5604670 1.5079868
0.3764683 0.2563036 17.8625234 2802.7462431 1.4937593
0.3765226 0.2550267 17.6914187 2802.9841849 1.4632079
0.3765309 0.2416909 17.9267105 2802.4020807 1.5078516
0.3765349 0.2359776 17.8225437 2802.7598750 1.4732841
0.3766156 0.2382541 17.8133789 2802.7231021 1.4822819
0.3766296 0.2452483 17.9819897 2802.3019545 1.5242188
0.3766304 0.2473119 17.8268295 2802.2744494 1.4721569
0.3766910 0.2447776 17.8048286 2802.4009445 1.4771574
0.3766946 0.2573706 17.7497212 2802.9522175 1.4649821
0.3767058 0.2408734 17.7254489 2802.9518535 1.4812846
0.3767155 0.2499456 17.8594896 2802.9882889 1.5448054
0.3767221 0.2600210 17.9453156 2802.5079357 1.4571111
0.3767290 0.2383857 17.9057835 2802.1103091 1.4629908
0.3767689 0.2373640 17.9662861 2802.7727737 1.5305313
0.3767792 0.2482278 17.8671093 2802.4823710 1.5063795
0.3768070 0.2437404 17.9595918 2802.8603416 1.5646178
0.3768245 0.2349774 17.9984379 2802.7115911 1.5207646
0.3769090 0.2358224 17.9706530 2802.1262566 1.4718015
0.3769505 0.2392284 17.9349518 2802.8476429 1.5376013
0.3769786 0.2451332 17.8455939 2802.1885230 1.4720391
0.3770138 0.2582930 17.9851179 2802.7006826 1.5192953
0.3770610 0.2359396 17.8592986 2802.9172130 1.4978088
0.3770818 0.2407990 17.8821086 2802.5668090 1.5082991
0.3771055 0.2510277 17.8779723 2802.1850410 1.4742809
0.3771346 0.2290079 17.9394292 2802.8565602 1.4616854
0.3771832 0.2503963 17.6339824 2802.9168169 1.4635824
0.3772063 0.2570336 17.9421872 2802.5162199 1.4971714
0.3772504 0.2508290 17.9833785 2801.8153731 1.4620079
0.3773010 0.2551989 17.9850844 2802.4251839 1.5171034
0.3773024 0.2493844 17.6514952 2802.8975329 1.4711416
0.3773561 0.2416753 17.7214451 2802.9427927 1.4874463
0.3774434 0.2542997 17.7694552 2802.7194517 1.4816803
0.3774559 0.2510982 17.9951969 2802.1756136 1.5135940
0.3775143 0.2332980 17.9319806 2802.7810209 1.4960742
0.3775222 0.2445911 17.9064661 2802.6936549 1.5415328
0.3775741 0.2526830 17.9730127 2802.3006299 1.5157711
0.3775811 0.2361058 17.8568833 2802.9439083 1.5032611
0.3775848 0.2512553 17.8944187 2802.2592514 1.4914481
0.3776240 0.2515787 17.9107539 2802.7834819 1.5501693
0.3776785 0.2337586 17.8828073 2802.8804684 1.4911821
0.3777575 0.2636985 17.9880733 2802.8420127 1.4640537
0.3777670 0.2467407 17.7287920 2802.3806747 1.4602074
0.3778853 0.2435130 17.7018870 2802.4773159 1.4575350
0.3779194 0.2611889 17.9976505 2802.7145345 1.4981466
0.3779261 0.2456549 17.7978550 2802.2209271 1.4678142
0.3780645 0.2500338 17.7284785 2802.9978663 1.5105119
0.3780659 0.2386547 17.8326157 2802.4489917 1.4805194
0.3780695 0.2524978 17.8934894 2802.7766454 1.5444359
0.3780801 0.2602462 17.9375382 2802.8423387 1.5059544
0.3780921 0.2579168 17.9161716 2802.6960457 1.5089611
0.3781152 0.2521931 17.8897707 2802.0661804 1.4669646
0.3781456 0.2506740 17.9672302 2802.1135095 1.5043054
0.3781485 0.2445413 17.8844766 2802.6336836 1.5339725
0.3781880 0.2538295 17.9989079 2802.5638062 1.5545067
0.3782458 0.2458484 17.7658057 2802.5118399 1.4874123
0.3783067 0.2536089 17.7403233 2802.7490976 1.4857853
0.3783253 0.2423917 17.9360416 2802.6474169 1.5472070
0.3783266 0.2503735 17.9060992 2802.2581089 1.5042513
0.3783536 0.2501696 17.7323662 2802.6611591 1.4877347
0.3783694 0.2481841 17.7181828 2802.5496216 1.4761676
0.3783698 0.2416759 17.8547689 2802.8711033 1.5346891
0.3783920 0.2495703 17.8860893 2802.0383460 1.4748340
0.3784048 0.2368298 17.9905378 2802.8002319 1.5479838
0.3784054 0.2480375 17.8466120 2802.6082036 1.5244488
0.3785146 0.2502074 17.8521775 2802.6588113 1.5294431
0.3785513 0.2576605 17.9026976 2802.8817581 1.5304435
0.3785754 0.2513647 17.7822621 2802.3216935 1.4697838
0.3785812 0.2413754 17.9058468 2802.9890033 1.5596638
0.3785883 0.2299698 17.9732023 2802.8085510 1.4881275
0.3786245 0.2336691 17.8678882 2802.5167788 1.4690383
0.3786831 0.2464397 17.9857447 2802.8316635 1.5916026
0.3786902 0.2416440 17.9390812 2802.3046299 1.5182625
0.3786904 0.2392179 17.9527415 2801.7830248 1.4604774
0.3787025 0.2506821 17.7026739 2802.5558695 1.4699980
0.3787247 0.2618207 17.9869109 2802.7542203 1.4984009
0.3787476 0.2380556 17.8462652 2802.7345037 1.5073297
0.3787638 0.2364243 17.9377458 2802.6158934 1.5180946
0.3787925 0.2598003 17.9225707 2802.9767741 1.5274817
0.3788299 0.2532151 17.9641640 2801.8376081 1.4596114
0.3788309 0.2535463 17.7994825 2802.5262344 1.4896950
0.3788568 0.2555343 17.9431548 2802.2564421 1.4938875
0.3788723 0.2369719 17.8068742 2802.8916327 1.4987322
0.3788787 0.2605861 17.8352596 2802.6938446 1.4560786
0.3788800 0.2607779 17.9436381 2802.6498533 1.4872794
0.3789374 0.2483723 17.9100116 2802.7739601 1.5644722
0.3789430 0.2284933 17.9819342 2802.8617281 1.4813774
0.3789506 0.2494333 17.7078113 2802.9955800 1.5111345
0.3789508 0.2472235 17.8852349 2802.9270777 1.5678060
0.3790574 0.2570283 17.9659785 2802.3534184 1.5031334
0.3791216 0.2468560 17.7125109 2802.4390032 1.4708133
0.3791840 0.2532679 17.7629441 2802.5659083 1.4857976
0.3791846 0.2386069 17.9008511 2802.8787752 1.5407485
0.3792386 0.2353791 17.9912676 2802.8740097 1.5483498
0.3792400 0.2472557 17.7620696 2802.7578906 1.5151698
0.3792531 0.2592210 17.8543739 2802.5618679 1.4692433
0.3792969 0.2451776 17.8505011 2802.8679784 1.5510510
0.3792984 0.2432688 17.8280335 2802.7064495 1.5265361
0.3793290 0.2514228 17.8787104 2802.4281302 1.5192074
0.3794254 0.2617150 17.9111546 2802.9692805 1.5038689
0.3794297 0.2324393 17.7856271 2802.8226660 1.4580934
0.3794346 0.2395210 17.6328819 2802.9284561 1.4625502
0.3794350 0.2462532 17.9955359 2802.6636383 1.5860795
0.3794432 0.2532373 17.8491076 2802.5976653 1.5208300
0.3795217 0.2384190 17.8450647 2802.5448593 1.5007331
0.3795304 0.2464348 17.9926272 2802.2889128 1.5494066
0.3795426 0.2365633 17.7836657 2802.5620600 1.4720593
0.3796112 0.2507220 17.8165405 2802.4499732 1.5052363
0.3796259 0.2411215 17.7646362 2802.7781544 1.5054466
0.3796730 0.2432288 17.9784806 2802.4171281 1.5532935
0.3796811 0.2500556 17.8779561 2802.8850262 1.5677650
0.3797305 0.2458940 17.9749548 2802.8603389 1.5973898
0.3797878 0.2524121 17.9222973 2802.3331132 1.5233215
0.3798095 0.2382624 17.9113821 2802.7093193 1.5350003
0.3798336 0.2544607 17.7658242 2802.8902870 1.5164339
0.3798773 0.2468023 17.9944030 2801.6440215 1.4745614
0.3798894 0.2444931 17.7980105 2802.7492733 1.5275571
0.3799022 0.2514444 17.8543826 2802.6190910 1.5351946
0.3799618 0.2385620 17.9709766 2802.0413658 1.4990543
0.3799782 0.2469037 17.9649063 2801.8855552 1.4976900
0.3800738 0.2462621 17.9442978 2802.2363185 1.5324899
0.3800759 0.2587226 17.9277819 2802.8266997 1.5391418
0.3800777 0.2342534 17.8583791 2802.5160268 1.4799418
0.3800905 0.2521097 17.8654437 2802.4411063 1.5202563
0.3801024 0.2282659 17.8750964 2802.9466702 1.4576468
0.3801044 0.2435256 17.7619923 2802.5511200 1.4993809
0.3801318 0.2479207 17.9779444 2802.1811369 1.5374180
0.3801613 0.2372564 17.9171617 2802.4035242 1.5099319
0.3802109 0.2527868 17.7918476 2802.8533341 1.5332041
0.3802322 0.2593741 17.8524280 2802.5022929 1.4696078
0.3802377 0.2403661 17.7155685 2802.9595459 1.5015517
0.3802477 0.2595462 17.9399848 2802.5086734 1.4990894
0.3802530 0.2292081 17.9164873 2802.8948967 1.4784196
0.3802534 0.2589102 17.9842563 2802.1483134 1.4720940
0.3802810 0.2436339 17.8611363 2802.0811817 1.4885137
0.3803375 0.2592034 17.8633382 2802.6723202 1.4965805
0.3803810 0.2528960 17.8959245 2802.1209521 1.4918821
0.3803932 0.2576831 17.9230329 2802.6769549 1.5342496
0.3804054 0.2468897 17.8848617 2802.8541962 1.5731297
0.3804502 0.2553439 17.9567156 2802.5380545 1.5488295
0.3804899 0.2459156 17.7042398 2802.2188816 1.4576146
0.3805000 0.2387371 17.7997121 2802.4105650 1.4843987
0.3805143 0.2409388 17.8660346 2802.8237477 1.5473746
0.3805183 0.2614052 17.8908686 2802.6225283 1.4737161
0.3805671 0.2405569 17.6993010 2802.6410756 1.4789889
0.3805736 0.2452028 17.8920125 2802.7240790 1.5635982
0.3805780 0.2544308 17.8435463 2802.6459088 1.5279330
0.3805869 0.2557336 17.8448528 2802.8870368 1.5441012
0.3805935 0.2532429 17.6467984 2802.8887699 1.4864109
0.3806336 0.2443193 17.9914708 2801.6959087 1.4868821
0.3806501 0.2414327 17.8967972 2802.6326348 1.5464050
0.3806791 0.2529705 17.9925805 2802.4083942 1.5607101
0.3806923 0.2454007 17.7676143 2802.0145741 1.4576020
0.3807314 0.2438948 17.6641855 2802.4041911 1.4611207
0.3807355 0.2405271 17.9740490 2802.5829140 1.5638322
0.3807562 0.2476183 17.8462703 2802.4484225 1.5280530
0.3807776 0.2576808 17.9928769 2802.0699706 1.4827113
0.3807811 0.2413865 17.5910619 2802.8318636 1.4611835
0.3808383 0.2554181 17.8580117 2802.1684085 1.4736318
0.3808970 0.2346083 17.8908991 2802.1775229 1.4712323
0.3809454 0.2544171 17.9429684 2801.9261053 1.4762630
0.3810059 0.2383401 17.6000766 2802.9754324 1.4588467
0.3810679 0.2457585 17.7918098 2802.1170418 1.4790642
0.3810950 0.2532540 17.6359377 2802.8373522 1.4828742
0.3810998 0.2481925 17.6755044 2802.3671921 1.4670549
0.3811267 0.2555799 17.7731704 2802.9450534 1.5292269
0.3811371 0.2356021 17.8746102 2802.7056818 1.5147811
0.3811762 0.2451273 17.8545819 2802.8514880 1.5653262
0.3811851 0.2309889 17.9177556 2802.7647605 1.4946157
0.3812211 0.2533221 17.7291919 2802.5078490 1.4860548
0.3812349 0.2361827 17.7813937 2802.6262907 1.4847192
0.3812882 0.2413843 17.7072558 2802.4431839 1.4749298
0.3813358 0.2423638 17.8458830 2801.9094356 1.4705346
0.3814382 0.2474352 17.8402876 2802.1556417 1.5013619
0.3814845 0.2487046 17.7957962 2802.2396461 1.4955528
0.3815122 0.2553386 17.7180392 2802.7258520 1.4950791
0.3815506 0.2552144 17.8199907 2802.3260189 1.4886398
0.3815589 0.2566614 17.8019222 2802.4480876 1.4860620
0.3815779 0.2605077 17.8198438 2802.8481935 1.4971965
0.3816224 0.2595751 17.8451290 2802.5445528 1.4840649
0.3816463 0.2427013 17.8043235 2802.9812039 1.5530180
0.3816918 0.2301228 17.9721045 2802.2794761 1.4735058
0.3817477 0.2567455 17.7257251 2802.5472494 1.4719928
0.3817660 0.2586124 17.8629614 2802.2712904 1.4677987
0.3818139 0.2448492 17.9365256 2801.6662445 1.4758030
0.3818448 0.2439872 17.7518540 2802.4987335 1.5056741
0.3819221 0.2533156 17.9230976 2802.0306695 1.4999619
0.3819367 0.2577955 17.7834248 2802.8228761 1.5134284
0.3819520 0.2308530 17.9690824 2802.5047225 1.4972403
0.3819709 0.2490053 17.8998744 2802.5265063 1.5624170
0.3820128 0.2519067 17.5941757 2802.7140273 1.4710625
0.3820340 0.2365134 17.8702339 2802.6774751 1.5237911
0.3820472 0.2337393 17.9269431 2802.5037512 1.5091281
0.3820473 0.2531104 17.7553259 2802.3249079 1.4835052
0.3820500 0.2578585 17.8406903 2802.3098094 1.4761319
0.3820670 0.2526381 17.9506105 2802.7618660 1.5969715
0.3820752 0.2398719 17.9647354 2802.4642055 1.5571421
0.3821338 0.2486624 17.9780399 2802.3774117 1.5743806
0.3821608 0.2353345 17.8336187 2802.5321849 1.4948795
0.3821646 0.2436674 17.9468963 2801.8605225 1.5040209
0.3821726 0.2283037 17.9558029 2802.6055129 1.4769430
0.3821909 0.2594877 17.7054856 2802.9132956 1.4795055
0.3821935 0.2555071 17.6660420 2802.4649683 1.4562128
0.3821974 0.2472725 17.7798106 2802.1290530 1.4852809
0.3822047 0.2405076 17.8404902 2802.1491047 1.4937116
0.3822117 0.2350891 17.9055868 2802.4077608 1.5063818
0.3822564 0.2302334 17.9386179 2802.3696967 1.4748375
0.3823115 0.2515030 17.8924329 2802.4729550 1.5532344
0.3823117 0.2586440 17.8608959 2802.5432133 1.5066010
0.3823404 0.2353609 17.9747553 2801.7138715 1.4656685
0.3823501 0.2524931 17.8442454 2802.6028856 1.5476464
0.3823943 0.2569131 17.9179630 2802.7576959 1.5665528
0.3824053 0.2528322 17.8493646 2802.8221788 1.5694701
0.3824056 0.2292778 17.9691048 2802.9801441 1.5134299
0.3824340 0.2386768 17.9275317 2802.7411667 1.5629618
0.3824348 0.2473421 17.6760432 2802.8715223 1.5193416
0.3824461 0.2426572 17.9078691 2801.9915767 1.5068619
0.3824515 0.2452767 17.9214261 2802.8731633 1.5994781
0.3824555 0.2370457 17.9637290 2802.2151083 1.5221866
0.3824862 0.2497896 17.6468706 2802.5654244 1.4849463
