#Wavelenght Flux
   1507.082 2.2528995514e+00 
   1507.430 2.6420061111e+00 
   1507.777 2.6812618256e+00 
   1508.123 2.8210195541e+00 
   1508.471 2.0401309967e+00 
   1508.818 2.1271707535e+00 
   1509.166 2.1219409943e+00 
   1509.513 1.7624662399e+00 
   1509.861 2.0830192566e+00 
   1510.209 2.5103757858e+00 
   1510.556 1.9118167877e+00 
   1510.905 1.9675409317e+00 
   1511.252 2.0838979721e+00 
   1511.601 2.1373886108e+00 
   1511.948 2.5154729843e+00 
   1512.297 2.2269561768e+00 
   1512.645 2.4612167358e+00 
   1512.993 2.6021619797e+00 
   1513.342 2.2442855835e+00 
   1513.690 2.3194328308e+00 
   1514.039 2.2256242752e+00 
   1514.387 2.4375099182e+00 
   1514.736 2.3321662903e+00 
   1515.085 2.7313270569e+00 
   1515.433 2.4119375229e+00 
   1515.783 2.4168115616e+00 
   1516.132 2.4124017715e+00 
   1516.481 2.4230655670e+00 
   1516.830 2.5154018402e+00 
   1517.180 2.1923198700e+00 
   1517.529 2.0054496765e+00 
   1517.878 2.0659914017e+00 
   1518.228 2.4216909409e+00 
   1518.577 2.1277711868e+00 
   1518.927 2.3449350357e+00 
   1519.277 2.4261777878e+00 
   1519.627 2.2220651627e+00 
   1519.977 2.4686704636e+00 
   1520.327 2.7212305069e+00 
   1520.677 2.3787687302e+00 
   1521.027 2.5372356415e+00 
   1521.378 2.4206087112e+00 
   1521.728 2.4466070175e+00 
   1522.079 2.4159948349e+00 
   1522.429 2.5153699875e+00 
   1522.779 2.3184152603e+00 
   1523.130 2.4344308853e+00 
   1523.481 2.4175893784e+00 
   1523.832 2.3279365540e+00 
   1524.182 2.4054042816e+00 
   1524.534 2.1613883972e+00 
   1524.885 2.4243494034e+00 
   1525.235 2.3910423279e+00 
   1525.587 2.1176115036e+00 
   1525.938 2.5680648804e+00 
   1526.290 2.1348701477e+00 
   1526.641 2.7419218063e+00 
   1526.993 2.6661058426e+00 
   1527.344 1.9612567902e+00 
   1527.696 2.0780744553e+00 
   1528.048 2.2572223663e+00 
   1528.400 2.2400075912e+00 
   1528.752 2.1473300934e+00 
   1529.104 2.5355218887e+00 
   1529.456 1.9187524796e+00 
   1529.808 2.4016237259e+00 
   1530.161 2.1218959808e+00 
   1530.513 2.2529783249e+00 
   1530.865 2.3902460098e+00 
   1531.218 2.3197832108e+00 
   1531.570 2.9699888229e+00 
   1531.923 2.9416614532e+00 
   1532.276 2.4794097900e+00 
   1532.629 2.2018512726e+00 
   1532.982 1.9562091827e+00 
   1533.334 2.3334194183e+00 
   1533.688 2.5475744247e+00 
   1534.041 2.0894716263e+00 
   1534.395 2.1726865768e+00 
   1534.748 2.4493160248e+00 
   1535.101 2.3022205353e+00 
   1535.455 2.4224582672e+00 
   1535.808 2.1683591843e+00 
   1536.162 2.4920064926e+00 
   1536.515 2.4603614807e+00 
   1536.870 2.3792470932e+00 
   1537.223 2.2530351639e+00 
   1537.578 2.2505256653e+00 
   1537.931 2.1586915970e+00 
   1538.285 2.2952369690e+00 
   1538.640 2.4166482925e+00 
   1538.994 2.1154661179e+00 
   1539.349 2.1606826782e+00 
   1539.703 2.1330839157e+00 
   1540.058 2.0733821869e+00 
   1540.412 2.3543682098e+00 
   1540.767 2.1993827820e+00 
   1541.122 2.2461418152e+00 
   1541.477 2.5159011841e+00 
   1541.832 2.7996904373e+00 
   1542.187 2.5059082031e+00 
   1542.542 2.1062137604e+00 
   1542.897 2.4998214722e+00 
   1543.252 2.2273500443e+00 
   1543.608 2.2175638199e+00 
   1543.963 2.3458393097e+00 
   1544.319 2.2610095978e+00 
   1544.674 2.2039560318e+00 
   1545.031 2.5001888275e+00 
   1545.386 2.5128904343e+00 
   1545.742 2.1334280014e+00 
   1546.098 2.1226196289e+00 
   1546.454 2.3935821533e+00 
   1546.810 1.9413665771e+00 
   1547.166 2.1322957993e+00 
   1547.523 2.1222866058e+00 
   1547.879 2.1490785599e+00 
   1548.235 2.2342279434e+00 
   1548.592 2.1869388580e+00 
   1548.948 2.2534660339e+00 
   1549.305 2.0339010239e+00 
   1549.662 1.8945087433e+00 
   1550.019 2.0478347778e+00 
   1550.376 2.0969625473e+00 
   1550.732 2.3676214218e+00 
   1551.090 1.7771469116e+00 
   1551.447 2.0400064468e+00 
   1551.805 1.8410709381e+00 
   1552.162 2.1264501572e+00 
   1552.520 1.8044385910e+00 
   1552.877 1.8892063141e+00 
   1553.234 2.0581087112e+00 
   1553.592 2.0575988770e+00 
   1553.949 2.0570899963e+00 
   1554.308 2.0565811157e+00 
   1554.665 2.0560726166e+00 
   1555.024 2.0555644989e+00 
   1555.382 2.0550569534e+00 
   1555.739 2.0545495987e+00 
   1556.098 2.0540424347e+00 
   1556.456 2.0535360336e+00 
   1556.815 2.0530298233e+00 
   1557.173 2.0525238037e+00 
   1557.532 2.0520183563e+00 
   1557.891 2.0515132904e+00 
   1558.250 2.0510087967e+00 
   1558.608 2.0505043030e+00 
   1558.967 2.0500001907e+00 
   1559.326 2.0494968414e+00 
   1559.685 2.0489934921e+00 
   1560.045 2.0484903336e+00 
   1560.404 2.0479879379e+00 
   1560.763 2.0474859238e+00 
   1561.123 2.0469839096e+00 
   1561.482 2.0464824677e+00 
   1561.842 2.0459812164e+00 
   1562.201 2.0454809189e+00 
   1562.561 2.0449802399e+00 
   1562.921 2.0444803238e+00 
   1563.281 2.0439807892e+00 
   1563.641 2.0434814453e+00 
   1564.000 2.0429824829e+00 
   1564.361 2.0424839020e+00 
   1564.721 2.0419858932e+00 
   1565.082 2.0414878845e+00 
   1565.442 2.0409904480e+00 
   1565.803 2.0404933929e+00 
   1566.163 2.0399967194e+00 
   1566.523 2.0395000458e+00 
   1566.885 2.0390041351e+00 
   1567.245 2.0385082245e+00 
   1567.606 2.0380132675e+00 
   1567.967 2.0375181198e+00 
   1568.329 2.0370233536e+00 
   1568.689 2.0365293503e+00 
   1569.050 2.0360351563e+00 
   1569.412 2.0355415344e+00 
   1569.773 2.0350484848e+00 
   1570.135 2.0345556259e+00 
   1570.496 2.0340629578e+00 
   1570.859 2.0335706711e+00 
   1571.220 2.0330789566e+00 
   1571.581 2.0325876236e+00 
   1571.944 2.0320964813e+00 
   1572.305 2.0316055298e+00 
   1572.668 2.0311151505e+00 
   1573.030 2.0306251526e+00 
   1573.393 2.0301353455e+00 
   1573.754 1.6787403107e+00 
   1574.117 2.1880563736e+00 
   1574.479 1.7655700684e+00 
   1574.842 1.6834917068e+00 
   1575.205 1.7760990143e+00 
   1575.567 1.7701326370e+00 
   1575.931 1.8193912506e+00 
   1576.293 1.9187994003e+00 
   1576.656 2.2210670471e+00 
   1577.019 2.1574468613e+00 
   1577.382 1.7761909485e+00 
   1577.746 2.0195854187e+00 
   1578.109 2.1018751144e+00 
   1578.473 1.9287490845e+00 
   1578.836 1.9098886490e+00 
   1579.199 2.0453632355e+00 
   1579.563 1.9479784012e+00 
   1579.927 2.0812534332e+00 
   1580.291 2.0544849396e+00 
   1580.654 1.9156284332e+00 
   1581.019 1.7541374207e+00 
   1581.383 1.7807510376e+00 
   1581.746 2.0529521942e+00 
   1582.111 1.9678792953e+00 
   1582.475 2.2424076080e+00 
   1582.840 2.2550380707e+00 
   1583.204 1.9377475739e+00 
   1583.569 1.7489587784e+00 
   1583.934 1.9275781631e+00 
   1584.298 1.8170007706e+00 
   1584.663 2.0973073959e+00 
   1585.028 2.1208345413e+00 
   1585.393 1.7886968613e+00 
   1585.758 2.1303773880e+00 
   1586.124 2.2566549301e+00 
   1586.489 2.1343942642e+00 
   1586.854 2.0012193680e+00 
   1587.220 2.2634675980e+00 
   1587.585 2.0674060822e+00 
   1587.951 2.0126474380e+00 
   1588.316 1.9267616272e+00 
   1588.682 2.1064413071e+00 
   1589.048 2.1021492004e+00 
   1589.414 2.0107025146e+00 
   1589.780 2.2649963379e+00 
   1590.146 2.0598609924e+00 
   1590.512 1.9755395889e+00 
   1590.878 2.2890705109e+00 
   1591.245 1.9575151443e+00 
   1591.611 2.2708200455e+00 
   1591.978 2.1742252350e+00 
   1592.344 2.1292987823e+00 
   1592.711 1.9485340118e+00 
   1593.078 1.8222143173e+00 
   1593.444 1.7826469421e+00 
   1593.812 1.7945493698e+00 
   1594.179 2.0834894180e+00 
   1594.546 2.0984790802e+00 
   1594.913 1.9329229355e+00 
   1595.280 2.0865201950e+00 
   1595.648 1.7385139465e+00 
   1596.015 1.8004224777e+00 
   1596.383 2.1685480118e+00 
   1596.750 1.8908538818e+00 
   1597.118 2.0678384781e+00 
   1597.486 2.1579074860e+00 
   1597.853 1.8224412918e+00 
   1598.222 1.9196317673e+00 
   1598.589 1.6407386780e+00 
   1598.958 1.9238389969e+00 
   1599.326 2.0913265228e+00 
   1599.695 1.9822217941e+00 
   1600.063 2.1520303726e+00 
   1600.431 1.9934263229e+00 
   1600.800 2.0265193939e+00 
   1601.168 2.0825622559e+00 
   1601.537 1.9669982910e+00 
   1601.906 1.9681692123e+00 
   1602.275 2.1120763779e+00 
   1602.644 2.0635105133e+00 
   1603.012 1.9475877762e+00 
   1603.382 1.9335897446e+00 
   1603.751 2.5623895645e+00 
   1604.121 2.1083446503e+00 
   1604.490 1.8842273712e+00 
   1604.860 1.8896781921e+00 
   1605.229 1.8310810089e+00 
   1605.598 1.9434631348e+00 
   1605.968 2.2540061951e+00 
   1606.338 2.2045078278e+00 
   1606.708 1.8560371399e+00 
   1607.078 2.0449989319e+00 
   1607.449 2.1099117279e+00 
   1607.818 2.0557596207e+00 
   1608.188 2.4287969589e+00 
   1608.559 2.1028982162e+00 
   1608.929 2.2927429199e+00 
   1609.300 1.9641420364e+00 
   1609.670 2.1240339279e+00 
   1610.041 2.2172369003e+00 
   1610.412 2.0396093369e+00 
   1610.782 1.9609273911e+00 
   1611.154 1.8783897400e+00 
   1611.524 2.1344598770e+00 
   1611.896 1.9784349442e+00 
   1612.267 2.1675279617e+00 
   1612.639 2.3828096390e+00 
   1613.010 2.0406377792e+00 
   1613.381 2.2168437958e+00 
   1613.753 2.1215354919e+00 
   1614.124 2.2929294586e+00 
   1614.496 2.6061262131e+00 
   1614.868 2.3973485947e+00 
   1615.240 1.9363590240e+00 
   1615.612 1.8553695679e+00 
   1615.984 1.9775632858e+00 
   1616.356 1.9519865036e+00 
   1616.728 2.0483228683e+00 
   1617.101 2.1587585449e+00 
   1617.473 1.9125398636e+00 
   1617.846 1.8171800613e+00 
   1618.218 1.8212776184e+00 
   1618.591 2.0621349335e+00 
   1618.963 2.0255241394e+00 
   1619.336 1.8447313309e+00 
   1619.709 1.9404029846e+00 
   1620.082 2.0465896606e+00 
   1620.455 2.0896335602e+00 
   1620.828 1.9794221878e+00 
   1621.202 2.1818923950e+00 
   1621.575 2.1847768784e+00 
   1621.948 2.0954311371e+00 
   1622.322 2.1087226868e+00 
   1622.695 1.9888319016e+00 
   1623.069 1.9786460876e+00 
   1623.443 2.0972469330e+00 
   1623.817 2.1554891586e+00 
   1624.191 2.2367206573e+00 
   1624.564 2.1218498230e+00 
   1624.939 1.5407612801e+00 
   1625.313 2.0369951248e+00 
   1625.687 1.8410074234e+00 
   1626.061 2.3354667664e+00 
   1626.436 2.1338371277e+00 
   1626.811 2.0200405121e+00 
   1627.185 2.0960424423e+00 
   1627.560 2.0035812378e+00 
   1627.934 1.9670551300e+00 
   1628.310 2.0614402771e+00 
   1628.684 2.0176113129e+00 
   1629.060 1.9657516479e+00 
   1629.435 2.1553016663e+00 
   1629.810 2.0757656097e+00 
   1630.185 2.1918689728e+00 
   1630.560 2.1393625259e+00 
   1630.936 2.0824783325e+00 
   1631.312 2.1614557266e+00 
   1631.688 2.0650253296e+00 
   1632.063 2.0766651154e+00 
   1632.439 2.0324737549e+00 
   1632.815 2.0679733276e+00 
   1633.191 2.1458084106e+00 
   1633.567 2.0756345749e+00 
   1633.943 2.2578657150e+00 
   1634.320 2.1537364960e+00 
   1634.696 1.9810750961e+00 
   1635.072 2.0877349854e+00 
   1635.449 1.9392631531e+00 
   1635.825 1.9085222244e+00 
   1636.202 1.9272863388e+00 
   1636.579 2.1868528366e+00 
   1636.956 2.2414546967e+00 
   1637.333 2.3138900757e+00 
   1637.709 2.3772840500e+00 
   1638.087 2.1064880371e+00 
   1638.464 2.0308198929e+00 
   1638.842 2.2173725128e+00 
   1639.219 2.1944046021e+00 
   1639.597 1.9985149384e+00 
   1639.974 2.0143804550e+00 
   1640.351 2.1922740936e+00 
   1640.730 2.0375831604e+00 
   1641.107 1.9205509186e+00 
   1641.485 1.8086387634e+00 
   1641.863 2.1411151886e+00 
   1642.242 2.2943082809e+00 
   1642.619 2.0585582733e+00 
   1642.997 2.1009359360e+00 
   1643.376 1.9211688995e+00 
   1643.754 2.0549970627e+00 
   1644.133 2.1800495148e+00 
   1644.512 2.1069406509e+00 
   1644.891 2.1608957291e+00 
   1645.269 2.3500896454e+00 
   1645.649 1.9937259674e+00 
   1646.027 1.9638053894e+00 
   1646.406 2.1837574005e+00 
   1646.785 2.2286062241e+00 
   1647.164 2.0783241272e+00 
   1647.544 1.9298982620e+00 
   1647.923 2.0769393921e+00 
   1648.303 2.2628438950e+00 
   1648.682 1.7792825699e+00 
   1649.062 1.9254655838e+00 
   1649.442 1.8978919983e+00 
   1649.821 2.1392395020e+00 
   1650.202 2.2354841232e+00 
   1650.581 1.9986013412e+00 
   1650.962 2.0676702499e+00 
   1651.342 1.8457366943e+00 
   1651.722 1.9686845779e+00 
   1652.103 2.1969026566e+00 
   1652.483 1.8323598862e+00 
   1652.864 2.0329870224e+00 
   1653.244 2.0700561523e+00 
   1653.625 1.8605075836e+00 
   1654.006 1.9740476608e+00 
   1654.386 2.3896636963e+00 
   1654.768 2.1430976868e+00 
   1655.148 2.0524925232e+00 
   1655.530 1.9682388306e+00 
   1655.911 2.2646718979e+00 
   1656.293 2.3996358871e+00 
   1656.674 1.9412038803e+00 
   1657.055 1.6958423615e+00 
   1657.437 2.2270122528e+00 
   1657.818 2.4457357407e+00 
   1658.201 1.8895935059e+00 
   1658.582 1.7480773926e+00 
   1658.964 2.0222208023e+00 
   1659.346 2.1076452255e+00 
   1659.728 2.0317344666e+00 
   1660.111 2.1046358109e+00 
   1660.492 1.9709001541e+00 
   1660.875 1.9751096725e+00 
   1661.257 1.9779615402e+00 
   1661.641 1.9252517700e+00 
   1662.023 2.0818910599e+00 
   1662.405 2.1246061325e+00 
   1662.788 1.7873485565e+00 
   1663.171 1.8873172760e+00 
   1663.555 2.2178117752e+00 
   1663.937 2.1146360397e+00 
   1664.321 2.0177583694e+00 
   1664.704 2.1675083160e+00 
   1665.087 1.9482503891e+00 
   1665.471 1.9631616592e+00 
   1665.854 2.2977876663e+00 
   1666.238 2.0155258179e+00 
   1666.621 1.8263172150e+00 
   1667.006 2.0080978394e+00 
   1667.389 1.9394458771e+00 
   1667.773 1.9571132660e+00 
   1668.157 2.0033187866e+00 
   1668.541 2.1474113464e+00 
   1668.926 1.9774431229e+00 
   1669.310 2.2574028015e+00 
   1669.695 1.9923168182e+00 
   1670.079 2.1304660797e+00 
   1670.463 2.0366439819e+00 
   1670.848 1.9254457474e+00 
   1671.233 2.0207519531e+00 
   1671.618 1.9511999130e+00 
   1672.003 1.8135274887e+00 
   1672.388 1.7677280426e+00 
   1672.773 1.9447591782e+00 
   1673.158 2.2580856323e+00 
   1673.543 1.8041965485e+00 
   1673.928 2.1106973648e+00 
   1674.314 1.8095245361e+00 
   1674.700 2.0251979828e+00 
   1675.086 2.0054136276e+00 
   1675.471 2.0577344894e+00 
   1675.858 2.0193666458e+00 
   1676.243 1.7767417908e+00 
   1676.629 1.9210456848e+00 
   1677.015 1.8234371185e+00 
   1677.401 1.8173755646e+00 
   1677.788 2.0767328262e+00 
   1678.174 1.7796585083e+00 
   1678.561 2.0466592789e+00 
   1678.947 1.8422327042e+00 
   1679.333 1.8011159897e+00 
   1679.721 2.2356889725e+00 
   1680.107 2.1325588226e+00 
   1680.494 1.8380641937e+00 
   1680.881 1.8994672775e+00 
   1681.269 2.1519208908e+00 
   1681.655 2.0775995255e+00 
   1682.042 2.0284694672e+00 
   1682.430 2.1129877090e+00 
   1682.817 1.9759738922e+00 
   1683.205 1.7810659409e+00 
   1683.592 1.9531921387e+00 
   1683.981 2.0053560257e+00 
   1684.368 1.7200956345e+00 
   1684.755 1.7317981720e+00 
   1685.144 1.8840650558e+00 
   1685.532 1.9070377350e+00 
   1685.920 2.1243667603e+00 
   1686.308 1.9810201645e+00 
   1686.697 1.6460525513e+00 
   1687.085 1.7993535995e+00 
   1687.473 1.9395044327e+00 
   1687.862 1.9443525314e+00 
   1688.251 1.9299480438e+00 
   1688.640 1.8372173309e+00 
   1689.028 1.8992341995e+00 
   1689.418 2.0169246674e+00 
   1689.807 2.1185831070e+00 
   1690.195 1.8641084671e+00 
   1690.585 2.2260656357e+00 
   1690.974 1.9849733353e+00 
   1691.364 1.8867134094e+00 
   1691.753 1.8663110733e+00 
   1692.143 1.6920276642e+00 
   1692.532 1.7957960129e+00 
   1692.922 1.8250465393e+00 
   1693.312 1.9027835846e+00 
   1693.702 1.9776199341e+00 
   1694.092 1.7856327057e+00 
   1694.482 1.7106010437e+00 
   1694.873 1.7654382706e+00 
   1695.263 1.8880304337e+00 
